Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
138,Omarion Hampton,22,LAC,RB,9,6,35,32,192,6.0,1,7,51.4,22,3.6,21.3,91.4,5.5,1,,HampOm00
139,Tucker Kraft,25,GNB,TE,8,8,44,32,489,15.3,6,22,63.6,59,4.0,61.1,72.7,11.1,0,,KrafTu00
140,Darnell Mooney,28,ATL,WR,15,15,72,32,443,13.8,1,25,38.9,49,2.1,29.5,44.4,6.2,2,,MoonDa00
141,Rhamondre Stevenson,27,NWE,RB,14,13,37,32,345,10.8,2,11,59.5,55,2.3,24.6,86.5,9.3,3,,StevRh00
142,Tyler Lockett,33,2TM,WR,17,2,55,32,291,9.1,1,14,40.0,33,1.9,17.1,58.2,5.3,0,,LockTy00
142,Tyler Lockett,33,TEN,WR,7,1,21,10,70,7.0,0,3,33.3,16,1.4,10.0,47.6,3.3,0,,LockTy00
142,Tyler Lockett,33,LVR,WR,10,1,34,22,221,10.0,1,11,44.1,33,2.2,22.1,64.7,6.5,0,,LockTy00
143,Calvin Austin III,26,PIT,WR,14,7,55,31,372,12.0,3,15,43.6,31,2.2,26.6,56.4,6.8,0,,AustCa00
144,Pat Bryant,23,DEN,WR,15,7,49,31,378,12.2,1,22,55.1,48,2.1,25.2,63.3,7.7,0,,BryaPa00
145,DeMario Douglas,25,NWE,WR,17,0,46,31,447,14.4,3,17,56.5,58,1.8,26.3,67.4,9.7,0,,DougDe00
146,Kenneth Walker III,25,SEA,RB,17,17,36,31,282,9.1,0,12,44.4,46,1.8,16.6,86.1,7.8,1,,WalkKe00
147,Darnell Washington,24,PIT,TE,16,13,43,31,364,11.7,1,16,60.5,36,1.9,22.8,72.1,8.5,2,,WashDa03
148,Mike Evans,32,TAM,WR,8,8,62,30,368,12.3,3,23,46.8,45,3.8,46.0,48.4,5.9,0,,EvanMi00
149,Tre Harris,23,LAC,WR,17,10,43,30,324,10.8,1,18,60.5,37,1.8,19.1,69.8,7.5,0,,HarrTr03
150,Elijah Higgins,25,ARI,TE,17,10,37,30,301,10.0,0,15,48.6,27,1.8,17.7,81.1,8.1,1,,HiggEl00
151,Chuba Hubbard,26,CAR,RB,15,6,39,30,223,7.4,3,12,38.5,35,2.0,14.9,76.9,5.7,1,,HubbCh01
152,Bucky Irving,23,TAM,RB,10,9,35,30,277,9.2,3,11,48.6,72,3.0,27.7,85.7,7.9,1,,IrviBu00
153,Cole Kmet,26,CHI,TE,16,15,48,30,347,11.6,2,17,50.0,31,1.9,21.7,62.5,7.2,0,,KmetCo00
154,Dontayvion Wicks,24,GNB,WR,14,7,46,30,332,11.1,2,21,65.2,30,2.1,23.7,65.2,7.2,0,,WickDo00
155,Greg Dortch,27,ARI,WR,12,3,33,29,206,7.1,3,10,42.4,39,2.4,17.2,87.9,6.2,1,,DortGr01
156,Matthew Golden,22,GNB,WR,14,5,44,29,361,12.4,0,16,47.7,46,2.1,25.8,65.9,8.2,0,,GoldMa02
157,Van Jefferson,29,TEN,WR,16,7,52,29,350,12.1,1,17,50.0,43,1.8,21.9,55.8,6.7,0,,JeffVa00
158,Jalen Nailor,26,MIN,WR,17,8,53,29,444,15.3,4,23,49.1,62,1.7,26.1,54.7,8.4,0,,NailJa00
159,Ja'Tavion Sanders,22,CAR,TE,13,5,34,29,190,6.6,1,8,55.9,18,2.2,14.6,85.3,5.6,0,,SandJa01
160,Mike Gesicki,30,CIN,TE,13,2,42,28,307,11.0,2,19,61.9,37,2.2,23.6,66.7,7.3,0,,GesiMi00
161,Travis Hunter,22,JAX,WR,7,4,45,28,298,10.6,1,12,40.0,44,4.0,42.6,62.2,6.6,1,,HuntTr00
162,Tez Johnson,23,TAM,WR,16,8,44,28,322,11.5,5,16,50.0,45,1.8,20.1,63.6,7.3,0,,JohnTe03
163,Aaron Jones,31,MIN,RB,12,12,41,28,199,7.1,1,9,41.5,27,2.3,16.6,68.3,4.9,2,,JoneAa00
164,Christian Kirk,29,HOU,WR,13,3,52,28,239,8.5,1,12,32.7,47,2.2,18.4,53.8,4.6,0,,KirkCh01
165,Isaiah Likely,25,BAL,TE,14,7,36,27,307,11.4,1,11,55.6,43,1.9,21.9,75.0,8.5,2,,LikeIs00
166,Tommy Tremble,25,CAR,TE,17,16,37,27,249,9.2,2,10,56.8,54,1.6,14.6,73.0,6.7,0,,TremTo00
167,Greg Dulcich,25,MIA,TE,10,3,33,26,335,12.9,1,14,66.7,29,2.6,33.5,78.8,10.2,1,,DulcGr00
168,Jerome Ford,26,CLE,RB,13,0,32,26,103,4.0,0,4,34.4,17,2.0,7.9,81.3,3.2,0,,FordJe00
169,Quinshon Judkins,22,CLE,RB,14,14,36,26,171,6.6,0,7,33.3,58,1.9,12.2,72.2,4.8,0,,JudkQu00
170,Jaylin Noel,23,HOU,WR,17,3,35,26,292,11.2,2,13,48.6,44,1.5,17.2,74.3,8.3,0,,NoelJa00
171,KaVontae Turpin,29,DAL,WR,15,2,38,26,396,15.2,2,16,52.6,86,1.7,26.4,68.4,10.4,1,AP-2,TurpKa00
172,Isaiah Williams,24,NYJ,WR,15,2,36,26,193,7.4,0,10,47.2,25,1.7,12.9,72.2,5.4,1,,WillIs03
173,Tyler Higbee,32,LAR,TE,10,8,36,25,281,11.2,3,17,58.3,24,2.5,28.1,69.4,7.8,0,,HigbTy00
174,Jeremy McNichols,30,WAS,RB,17,1,31,25,196,7.8,0,10,45.2,24,1.5,11.5,80.6,6.3,1,,McNiJe00
175,Brashard Smith,22,KAN,RB,17,1,35,25,172,6.9,1,7,57.1,17,1.5,10.1,71.4,4.9,1,,SmitBr09
176,Devaughn Vele,28,NOR,WR,13,7,39,25,293,11.7,2,19,59.0,17,1.9,22.5,64.1,7.5,0,,VeleDe00
177,Davis Allen,24,LAR,TE,17,5,33,24,208,8.7,3,12,60.6,27,1.4,12.2,72.7,6.3,0,,AlleDa02
178,Ty Johnson,28,BUF,RB,17,0,33,24,263,11.0,2,11,45.5,52,1.4,15.5,72.7,8.0,1,,JohnTy02
179,Kyle Juszczyk,34,SFO,FB,17,17,28,24,213,8.9,2,10,78.6,25,1.4,12.5,85.7,7.6,0,PBAP-1,JuszKy00
180,Woody Marks,25,HOU,RB,16,8,36,24,208,8.7,3,7,38.9,50,1.5,13.0,66.7,5.8,1,,MarkWo00
181,David Montgomery,28,DET,RB,17,0,29,24,192,8.0,0,11,55.2,23,1.4,11.3,82.8,6.6,2,,MontDa01
182,Luke Musgrave,25,GNB,TE,17,10,31,24,252,10.5,0,11,58.1,26,1.4,14.8,77.4,8.1,1,,MusgLu00
183,Kalif Raymond,31,DET,WR,15,3,30,24,289,12.0,1,14,63.3,30,1.6,19.3,80.0,9.6,0,,RaymKa00
184,Cam Skattebo,23,NYG,RB,8,5,32,24,207,8.6,2,11,56.3,21,3.0,25.9,75.0,6.5,1,,SkatCa00
185,Darren Waller,33,MIA,TE,9,3,34,24,283,11.8,6,19,64.7,34,2.7,31.4,70.6,8.3,0,,WallDa01
186,Brandin Cooks,32,2TM,WR,15,5,36,24,279,11.6,0,14,61.1,50,1.6,18.6,66.7,7.8,0,,CookBr00
186,Brandin Cooks,32,NOR,WR,10,3,25,19,165,8.7,0,10,68.0,21,1.9,16.5,76.0,6.6,0,,CookBr00
186,Brandin Cooks,32,BUF,WR,5,2,11,5,114,22.8,0,4,45.5,50,1.0,22.8,45.5,10.4,0,,CookBr00
187,Jeremy Ruckert,25,NYJ,TE,17,15,29,23,179,7.8,1,8,48.3,24,1.4,10.5,79.3,6.2,0,,RuckJe00
188,DeAndre Hopkins,33,BAL,WR,17,3,39,22,330,15.0,2,15,51.3,41,1.3,19.4,56.4,8.5,0,,HopkDe00
189,Zonovan Knight,24,ARI,RB,12,8,31,22,160,7.3,1,10,48.4,20,1.8,13.3,71.0,5.2,1,,KnigZo00
190,Josh Palmer,26,BUF,WR,12,8,37,22,303,13.8,0,14,45.9,45,1.8,25.3,59.5,8.2,0,,PalmJo00
191,Demarcus Robinson,31,SFO,WR,14,2,35,22,276,12.5,1,15,51.4,31,1.6,19.7,62.9,7.9,0,,RobiDe01
192,Isaiah Davis,23,NYJ,RB,16,0,28,21,186,8.9,0,8,46.4,26,1.3,11.6,75.0,6.6,0,,DaviIs00
193,Noah Gray,26,KAN,TE,16,6,37,21,178,8.5,0,9,32.4,28,1.3,11.1,56.8,4.8,0,,GrayNo00
194,Justice Hill,28,BAL,RB,10,0,27,21,169,8.0,1,6,37.0,37,2.1,16.9,77.8,6.3,1,,HillJu00
195,Tyreek Hill,31,MIA,WR,4,4,29,21,265,12.6,1,17,69.0,47,5.3,66.3,72.4,9.1,0,,HillTy00
196,Austin Hooper,31,NWE,TE,16,6,26,21,263,12.5,2,13,76.9,31,1.3,16.4,80.8,10.1,0,,HoopAu00
197,Cedric Tillman,25,CLE,WR,13,10,39,21,270,12.9,2,13,43.6,42,1.6,20.8,53.8,6.9,0,,TillCe01
198,Jack Bech,23,LVR,WR,16,5,29,20,224,11.2,0,11,58.6,37,1.3,14.0,69.0,7.7,0,,BechJa00
199,Dyami Brown,26,JAX,WR,14,6,37,20,227,11.4,1,13,43.2,39,1.4,16.2,54.1,6.1,1,,BrowDy00
200,Zach Charbonnet,24,SEA,RB,16,0,24,20,144,7.2,0,7,41.7,21,1.3,9.0,83.3,6.0,0,,CharZa00
201,Adam Trautman,28,DEN,TE,17,12,23,20,195,9.8,1,11,73.9,26,1.2,11.5,87.0,8.5,0,,TrauAd00
202,Tyler Badie,25,DEN,RB,16,0,31,19,141,7.4,0,9,38.7,19,1.2,8.8,61.3,4.5,0,,BadiTy00
203,Rashod Bateman,26,BAL,WR,13,12,38,19,224,11.8,2,12,42.1,36,1.5,17.2,50.0,5.9,0,,BateRa00
204,Daniel Bellinger,25,NYG,TE,16,10,26,19,286,15.1,2,14,69.2,44,1.2,17.9,73.1,11.0,0,,BellDa00
205,Mitchell Evans,22,CAR,TE,17,10,25,19,171,9.0,2,9,68.0,25,1.1,10.1,76.0,6.8,0,,EvanMi01
206,Tanner Hudson,31,CIN,TE,15,1,24,19,168,8.8,2,8,58.3,33,1.3,11.2,79.2,7.0,0,,HudsTa00
207,Isiah Pacheco,26,KAN,RB,13,12,26,19,101,5.3,1,4,30.8,31,1.5,7.8,73.1,3.9,0,,PachIs00
208,Jayden Reed,25,GNB,WR,7,3,22,19,207,10.9,1,8,50.0,31,2.7,29.6,86.4,9.4,0,,ReedJa03
209,Tyquan Thornton,25,KAN,WR,14,4,37,19,438,23.1,3,15,48.6,61,1.4,31.3,51.4,11.8,0,,ThorTy00
210,Adam Thielen,35,2TM,WR,16,7,35,19,186,9.8,0,10,45.7,28,1.2,11.6,54.3,5.3,0,,ThieAd00
210,Adam Thielen,35,MIN,WR,11,4,18,8,69,8.6,0,6,44.4,19,0.7,6.3,44.4,3.8,0,,ThieAd00
210,Adam Thielen,35,PIT,WR,5,3,17,11,117,10.6,0,4,47.1,28,2.2,23.4,64.7,6.9,0,,ThieAd00
211,Isaiah Bond,21,CLE,WR,16,2,44,18,338,18.8,0,11,31.8,52,1.1,21.1,40.9,7.7,0,,BondIs00
212,Jahan Dotson,25,PHI,WR,17,10,36,18,262,14.6,1,10,38.9,51,1.1,15.4,50.0,7.3,0,,DotsJa00
213,Kareem Hunt,30,KAN,RB,17,4,25,18,143,7.9,1,8,44.0,22,1.1,8.4,72.0,5.7,2,,HuntKa00
214,Kyle Monangai,23,CHI,RB,17,1,30,18,164,9.1,0,7,36.7,34,1.1,9.6,60.0,5.5,0,,MonaKy00
215,Malik Nabers,22,NYG,WR,4,4,35,18,271,15.1,2,11,45.7,48,4.5,67.8,51.4,7.7,0,,NabeMa00
216,David Sills V,29,ATL,WR,17,4,36,18,191,10.6,2,9,38.9,21,1.1,11.2,50.0,5.3,0,,SillDa01
217,Devin Singletary,28,NYG,RB,17,1,19,18,151,8.4,0,4,47.4,41,1.1,8.9,94.7,7.9,0,,SingDe00
218,Xavier Smith,28,LAR,WR,16,3,24,18,303,16.8,0,11,70.8,51,1.1,18.9,75.0,12.6,0,,SmitXa00
219,Jalen Tolbert,26,DAL,WR,13,8,34,18,203,11.3,1,12,44.1,35,1.4,15.6,52.9,6.0,0,,TolbJa00
220,Jordan Whittington,25,LAR,WR,17,6,25,18,171,9.5,0,7,48.0,40,1.1,10.1,72.0,6.8,0,,WhitJo04
221,Devin Neal,22,NOR,RB,10,3,19,17,104,6.1,0,4,42.1,18,1.7,10.4,89.5,5.5,0,,NealDe00
222,Samaje Perine,30,CIN,RB,15,2,21,17,87,5.1,0,5,42.9,16,1.1,5.8,81.0,4.1,3,,PeriSa00
223,Calvin Ridley,31,TEN,WR,7,6,36,17,303,17.8,0,13,38.9,47,2.4,43.3,47.2,8.4,0,,RidlCa00
224,Ameer Abdullah,32,IND,RB,13,0,17,16,99,6.2,0,4,41.2,15,1.2,7.6,94.1,5.8,1,,AbduAm00
225,Jackson Hawes,25,BUF,TE,17,8,19,16,187,11.7,3,13,78.9,29,0.9,11.0,84.2,9.8,0,,HaweJa00
226,Jaylin Lane,23,WAS,WR,15,4,32,16,225,14.1,0,10,40.6,41,1.1,15.0,50.0,7.0,3,,LaneJa00
227,Isaac TeSlaa,23,DET,WR,17,3,27,16,239,14.9,6,14,55.6,29,0.9,14.1,59.3,8.9,0,,TeSlIs00
228,Kimani Vidal,24,LAC,RB,13,10,22,16,136,8.5,1,6,40.9,60,1.2,10.5,72.7,6.2,1,,VidaKi00
229,Elijah Arroyo,22,SEA,TE,13,4,26,15,179,11.9,1,7,38.5,32,1.2,13.8,57.7,6.9,1,,ArroEl00
230,Derrick Henry,31,BAL,RB,17,17,21,15,150,10.0,0,4,52.4,44,0.9,8.8,71.4,7.1,4,,HenrDe00
231,Julian Hill,25,MIA,TE,14,11,20,15,140,9.3,0,6,50.0,20,1.1,10.0,75.0,7.0,0,,HillJu02
232,Josh Oliver,28,MIN,TE,15,7,19,15,160,10.7,4,9,68.4,32,1.0,10.7,78.9,8.4,0,,OlivJo00
233,Tim Patrick,32,JAX,WR,16,3,24,15,187,12.5,3,10,54.2,37,0.9,11.7,62.5,7.8,0,,PatrTi00
234,Hunter Renfrow,30,CAR,WR,6,2,26,15,89,5.9,2,8,34.6,15,2.5,14.8,57.7,3.4,0,,RenfHu00
235,Drew Sample,29,CIN,TE,17,12,20,15,106,7.1,1,5,45.0,27,0.9,6.2,75.0,5.3,0,,SampDr00
236,Tyrell Shavers,26,BUF,WR,17,9,23,15,245,16.3,1,11,65.2,43,0.9,14.4,65.2,10.7,0,,ShavTy00
237,Emanuel Wilson,26,GNB,RB,17,2,17,15,99,6.6,0,5,52.9,25,0.9,5.8,88.2,5.8,1,,WilsEm00
238,Tyler Allgeier,25,ATL,RB,17,2,16,14,96,6.9,0,3,56.3,31,0.8,5.6,87.5,6.0,0,,AllgTy00
239,Jordan Mason,26,MIN,RB,16,5,16,14,51,3.6,0,1,31.3,13,0.9,3.2,87.5,3.2,3,,MasoJo00
240,Luke Schoonmaker,27,DAL,TE,17,7,23,14,132,9.4,0,7,47.8,29,0.8,7.8,60.9,5.7,0,,SchoLu00
241,Zavier Scott,26,MIN,RB,16,0,16,14,98,7.0,1,7,56.3,20,0.9,6.1,87.5,6.1,2,,ScotZa00
242,Brycen Tremayne,26,CAR,WR,16,1,18,14,160,11.4,0,7,66.7,26,0.9,10.0,77.8,8.9,1,,TremBr00
243,Brock Wright,27,DET,TE,11,8,22,14,108,7.7,2,7,50.0,20,1.3,9.8,63.6,4.9,0,,WrigBr01
244,Marquez Valdes-Scantling,31,2TM,WR,10,1,29,14,120,8.6,1,6,37.9,19,1.4,12.0,48.3,4.1,1,,ValdMa00
244,Marquez Valdes-Scantling,31,SFO,WR,5,0,8,4,40,10.0,0,1,37.5,19,0.8,8.0,50.0,5.0,0,,ValdMa00
244,Marquez Valdes-Scantling,31,PIT,WR,5,1,21,10,80,8.0,1,5,38.1,19,2.0,16.0,47.6,3.8,1,,ValdMa00
245,Mo Alie-Cox,32,IND,TE,17,6,20,13,117,9.0,1,4,50.0,20,0.8,6.9,65.0,5.9,0,,AlieMo00
246,Kevin Austin,25,NOR,WR,8,1,23,13,140,10.8,1,7,34.8,36,1.6,17.5,56.5,6.1,0,,AustKe00
247,Trey Benson,23,ARI,RB,4,1,16,13,64,4.9,0,2,37.5,12,3.3,16.0,81.3,4.0,0,,BensTr01
248,Chris Brooks,25,GNB,RB,17,0,17,13,91,7.0,0,3,35.3,16,0.8,5.4,76.5,5.4,0,,BrooCh00
249,Nick Chubb,30,HOU,RB,15,9,20,13,67,5.2,0,1,35.0,27,0.9,4.5,65.0,3.4,0,,ChubNi00
250,Emari Demercado,26,ARI,RB,13,0,20,13,101,7.8,1,3,25.0,34,1.0,7.8,65.0,5.1,1,,DemeEm00
251,Tory Horton,23,SEA,WR,8,3,22,13,161,12.4,5,7,45.5,25,1.6,20.1,59.1,7.3,0,,HortTo00
252,Hunter Luepke,25,DAL,RB,17,5,15,13,109,8.4,1,6,40.0,15,0.8,6.4,86.7,7.3,0,,LuepHu00
253,Ian Thomas,29,LVR,TE,15,10,13,13,114,8.8,0,5,76.9,20,0.9,7.6,100.0,8.8,0,,ThomIa00
254,Lil'Jordan Humphrey,27,2TM,WR,10,4,25,13,156,12.0,1,9,48.0,34,1.3,15.6,52.0,6.2,0,,HumpLi01
254,Lil'Jordan Humphrey,27,NYG,WR,3,2,10,4,55,13.8,0,2,30.0,34,1.3,18.3,40.0,5.5,0,,HumpLi01
254,Lil'Jordan Humphrey,27,DEN,WR,7,2,15,9,101,11.2,1,7,60.0,22,1.3,14.4,60.0,6.7,0,,HumpLi01
255,Gabriel Davis,26,BUF,WR,6,5,18,12,129,10.8,1,8,55.6,22,2.0,21.5,66.7,7.2,0,,DaviGa01
256,Audric Estime,22,NOR,RB,7,1,13,12,103,8.6,0,3,69.2,19,1.7,14.7,92.3,7.9,0,,EstiAu00
257,John FitzPatrick,25,GNB,TE,15,4,15,12,72,6.0,1,4,66.7,11,0.8,4.8,80.0,4.8,0,,FitzJo00
258,Tyler Johnson,27,NYJ,WR,12,5,18,12,197,16.4,1,8,50.0,35,1.0,16.4,66.7,10.9,0,,JohnTy00
259,Zay Jones,30,ARI,WR,8,0,18,12,183,15.3,0,7,44.4,43,1.5,22.9,66.7,10.2,0,,JoneZa00
260,Hunter Long,27,JAX,TE,9,3,17,12,85,7.1,2,5,58.8,11,1.3,9.4,70.6,5.0,1,,LongHu00
261,Jalen McMillan,24,TAM,WR,4,2,15,12,178,14.8,0,8,66.7,33,3.0,44.5,80.0,11.9,0,,McMiJa01
262,Raheem Mostert,33,LVR,RB,12,0,12,12,70,5.8,0,6,58.3,18,1.0,5.8,100.0,5.8,0,,MostRa00
263,Cade Stover,25,HOU,TE,9,7,16,12,76,6.3,0,4,50.0,11,1.3,8.4,75.0,4.8,0,,StovCa00
264,Roman Wilson,24,PIT,WR,13,4,21,12,166,13.8,2,7,47.6,45,0.9,12.8,57.1,7.9,1,,WilsRo02
265,John Bates,28,WAS,TE,15,11,16,11,103,9.4,1,6,62.5,22,0.7,6.9,68.8,6.4,0,,BateJo00
266,Malachi Corley,23,CLE,WR,13,5,14,11,79,7.2,0,5,35.7,19,0.8,6.1,78.6,5.6,0,,CorlMa00
267,Will Dissly,29,LAC,TE,9,2,16,11,97,8.8,0,5,50.0,18,1.2,10.8,68.8,6.1,0,,DissWi00
268,J.K. Dobbins,27,DEN,RB,10,9,14,11,37,3.4,0,0,35.7,9,1.1,3.7,78.6,2.6,0,,DobbJK00
269,Luke Farrell,28,SFO,TE,17,4,14,11,85,7.7,2,6,71.4,11,0.6,5.0,78.6,6.1,1,,FarrLu00
270,Terrance Ferguson,22,LAR,TE,14,3,25,11,231,21.0,3,9,40.0,36,0.8,16.5,44.0,9.2,0,,FergTe00
271,Taysom Hill,35,NOR,TE,13,5,16,11,91,8.3,0,2,37.5,17,0.8,7.0,68.8,5.7,3,,HillTa00
272,Jimmy Horn,23,CAR,WR,13,0,15,11,108,9.8,0,4,46.7,34,0.8,8.3,73.3,7.2,0,,HornJi00
273,Luke McCaffrey,24,WAS,WR,9,0,15,11,203,18.5,3,6,66.7,50,1.2,22.6,73.3,13.5,0,,McCaLu00
274,Chris Moore,32,WAS,WR,14,5,23,11,207,18.8,1,10,47.8,44,0.8,14.8,47.8,9.0,0,,MoorCh00
275,Josh Reynolds,30,NYJ,WR,5,3,21,11,101,9.2,0,4,47.6,13,2.2,20.2,52.4,4.8,0,,ReynJo00
276,Ben Sinnott,23,WAS,TE,16,3,13,11,114,10.4,1,5,53.8,36,0.7,7.1,84.6,8.8,0,,SinnBe00
277,Mason Tipton,25,NOR,WR,14,3,17,11,76,6.9,0,4,41.2,12,0.8,5.4,64.7,4.5,1,,TiptMa00
